Z.threshold EduYrs.Z afib.broad.Z allstroke.Z CCScCEmajor.Z CCScCRYPTCE.Z CCScINCUNC.Z CCScLAA.Z CCScSAO.Z CCScUNDETER.Z CCSpCEmajincl.Z CCSpCryptoincl.Z CCSpLAAmajincl.Z CCSpSAOmajincl.Z toastCE.Z toastLAA.Z toastSAO.Z toastUNDETER.Z
0 -0.00475625338915882 0.0721408620782745 0.0485697018392622 0.0675779094944085 0.0200668248362208 0.0153442321937434 0.0130173993510266 0.0102995442338489 0.0239128386792586 0.0693348798554491 0.0142713103121741 0.0142546956310091 0.0113383489038191 0.0730152662474742 0.012568303124786 0.00349750720189406 0.0202000455137853
0.25 -0.00523900983199093 0.0798794200571917 0.053873239233616 0.0748892297188331 0.0222489579994259 0.0170623534635155 0.0143510534264277 0.0113939088323083 0.0265717113736856 0.0767988037923609 0.0157870071273159 0.0156782171423477 0.0125868065117658 0.0809229319952338 0.0138044100303855 0.00386483139018135 0.02236754563801
0.5 -0.00599784135884521 0.089826280612147 0.0606286040657286 0.0842703548799153 0.0245317083079158 0.0191428263772609 0.0162527388427426 0.0130263215179592 0.0295216397915728 0.0863020513117775 0.0173487919149086 0.0176038543405569 0.0144294683119021 0.0913329410592269 0.0156774802203142 0.0044549533098507 0.0247239779374331
0.75 -0.00697962029630031 0.102788253830108 0.0688705272573164 0.0964541866555575 0.026692421703745 0.0215431408605243 0.0179504027438852 0.0151962585075978 0.032628326625571 0.0987261619093336 0.0186485543821255 0.01912650858654 0.0166009776466147 0.104508484884429 0.0174140020028218 0.00539858997999515 0.0271534783576127
1 -0.00744663476220279 0.11732181520958 0.0777778234539444 0.109957734319481 0.0300967939599039 0.0242537924024046 0.0186078719838354 0.0161655319937977 0.0367812012822469 0.112426274562145 0.0215598320601551 0.0194620950071254 0.0177146079815023 0.119092374528614 0.0183082175560243 0.00548845313586333 0.0302387359621679
1.25 -0.00854135979200891 0.135211203918949 0.0884217202824118 0.127138537858073 0.0327325965961884 0.0274454880492615 0.0200463825261396 0.0162136338269321 0.0407930903273037 0.129367193628204 0.0238106930333132 0.0201141522165846 0.0179847821341084 0.136825916249028 0.0194066442691551 0.00498249964407242 0.0331551120922782
1.5 -0.0101614910423804 0.158845738519827 0.101879119085286 0.149931947985317 0.0361041300465244 0.0320487638011634 0.0206459739390833 0.0174870782669894 0.0463424387329109 0.152210938891464 0.0277850528741369 0.0210522554618659 0.0194625795923061 0.159378799231423 0.0199045165062091 0.00386279743370086 0.0377211575992853
1.75 -0.0102694919084434 0.191580273043031 0.12382131248396 0.180540970465687 0.0441953382205485 0.0417545644946882 0.0210588464909434 0.0190893376094676 0.0587983772344229 0.183647742410951 0.0341348858053487 0.0230489613371143 0.0221326364180289 0.190482480505734 0.0222828527589037 0.00211597122812088 0.0492637381871746
2 -0.00916174487109636 0.231129454213245 0.147744667267899 0.216718235988544 0.0563143017019452 0.0504578611214872 0.0185221173175732 0.0183098658072274 0.0730966550364007 0.221462360627996 0.0440474489990319 0.0241691234293825 0.0225446698929887 0.227902555642884 0.0196146720260179 -0.00146714867126049 0.0636084421456469
2.25 -0.00117523693568289 0.293115614379877 0.186865622158179 0.272196748035736 0.068438832934481 0.0596707699350147 0.0185844204679476 0.024192090294212 0.0880331762504437 0.281306056570808 0.0498282521259969 0.0281505648273361 0.0274520447099106 0.285468271729507 0.0228922340088102 0.00256092906806891 0.0762322916224887
2.5 0.00627076691656552 0.359511713298027 0.232587888028304 0.33864149128848 0.0721239716037327 0.0686224809763846 0.0152874745497196 0.0262353317189683 0.0969387530676233 0.348207164951465 0.0575399355844756 0.0269893477817551 0.0275382894464273 0.350328328757288 0.0234627438493266 0.00923467228382956 0.0802115614332444
2.75 0.0155461595065506 0.450421299363798 0.29927140387886 0.427967085873936 0.0724814781376291 0.0807884616078105 0.0165429223947263 0.0252959499221541 0.10591660931642 0.438095441855918 0.0703770643246393 0.0265274568735091 0.0216284279702252 0.434960761576181 0.0181279038774434 0.0143304813685597 0.0909734382726402
3 0.0176325623644256 0.565490476428897 0.373906020682216 0.546114783846398 0.0818828979694492 0.0847764994100104 0.00179749895093107 0.0181404246151521 0.114466224829911 0.554502993685285 0.0955447556323189 0.0167728133826851 0.0114528905362536 0.53790903226788 -0.000747788308847592 0.0217525301502792 0.0885743104761053
3.25 -0.00402656828444353 0.67504360276634 0.453227968993155 0.660423423342177 0.100116416583869 0.112543857833152 -0.0297041468749177 0.00367511761743567 0.144661168476552 0.663534979676942 0.124729498884706 -0.00809349696007578 0.00224632523001427 0.640264980956607 -0.025359776390294 0.0136395561123933 0.115097641269585
3.5 -0.00605706014518169 0.772319037353986 0.535427384782195 0.760703403066099 0.0944935185563078 0.144723145594692 -0.083699464229512 -0.025617921466765 0.16069811540315 0.763472630025447 0.131930797082983 -0.0635408257985877 -0.0247753084689296 0.733807802816557 -0.0683601012618196 -0.00512505769722897 0.119030953074505
3.75 0.0373186215350875 0.849699944214085 0.618118221137841 0.845327442460404 0.0811093706050728 0.168282200593422 -0.138049430300925 -0.0418320143932618 0.166963562146522 0.839377500464322 0.146787797520138 -0.104337063582473 -0.0414227221718535 0.809787812870449 -0.125093569517104 -0.0118353861474435 0.0891463201078857
4 0.0411666380451319 0.890860175712414 0.702735812766772 0.894131856397277 0.114480049154506 0.202437616883756 -0.150656223535483 -0.0421728708138549 0.213974008949337 0.88415811930916 0.178840689891537 -0.109986351437017 -0.0508301401578315 0.861242910263172 -0.145186103430457 -0.0021259819097846 0.13813274664741
4.25 0.05843083717869 0.918865855522458 0.769691710825496 0.919761962904367 0.139856797168794 0.26818006609908 -0.172435525683344 -0.0277853004046122 0.272159322969507 0.910774514582188 0.2181058601832 -0.124071886239459 -0.052026706951402 0.892118485306097 -0.148246419914115 0.021018538412438 0.167865974936107
4.5 0.043536474248352 0.948540573152053 0.866211325965033 0.951252237112732 0.21335566475217 0.342821771587839 -0.170858047222095 -0.036332553260436 0.369012108540679 0.942802426340993 0.28677138687571 -0.117018930713056 -0.0778704477419864 0.933200052260891 -0.149192722395478 0.0670221611108215 0.256559894231212
4.75 0.0366767302690758 0.964887024056799 0.897288528523265 0.96293155076981 0.313374375121606 0.380066722868759 -0.145554429119004 -0.0543143515787323 0.453794920610074 0.958846995173625 0.376764844431674 -0.110956653853625 -0.109434298000819 0.96127108759616 -0.169972645359342 0.0767015253926388 0.303785824026423
5 0.0147885484173257 0.971090080415366 0.91459373901947 0.969109869013945 0.362499018480876 0.413249972439152 -0.132321537014159 -0.0288648647018056 0.49288469918582 0.964751515356052 0.42230264287347 -0.118647581895042 -0.0904237688037668 0.968676399323305 -0.179808898211732 0.126372720342362 0.333177658823457
