Z.threshold EduYrs.Z afib.broad.Z allstroke.Z CCScCEmajor.Z CCScCRYPTCE.Z CCScINCUNC.Z CCScLAA.Z CCScSAO.Z CCScUNDETER.Z CCSpCEmajincl.Z CCSpCryptoincl.Z CCSpLAAmajincl.Z CCSpSAOmajincl.Z toastCE.Z toastLAA.Z toastSAO.Z toastUNDETER.Z
0 -0.00473644573007609 0.0660626321340589 0.0462612781727901 0.0623105500797935 0.0195444580737839 0.0149663145019847 0.0132704682002029 0.0106043051857177 0.0233347863260952 0.063816420998892 0.0128362550871931 0.0144602079765865 0.0116399148053973 0.0680336313971138 0.0130656483704061 0.00347556003151639 0.019832188782122
0.25 -0.00521546815745561 0.0731550425069786 0.0513031567090945 0.0690597143349589 0.0216611421900677 0.0166423731475064 0.0146280908385876 0.0117291933474318 0.0259233444769052 0.0706917123023656 0.0141852566235741 0.0159025176394827 0.0129179324930466 0.0754062402987962 0.0143572162623565 0.00383598929238786 0.0219533828960376
0.5 -0.00597452164630026 0.0821789430173079 0.0576849743654493 0.0776397386564699 0.0238226355542404 0.0186563156587116 0.0165746278859829 0.0134139355719883 0.028751422120655 0.0793499524142741 0.0154953585705385 0.0178503686497854 0.0148128813268682 0.0850485357153795 0.016320048154612 0.00441508823041882 0.0242386600889305
0.75 -0.00694528904821811 0.0937642330080473 0.0653328979997178 0.0886332393621672 0.0258065974262302 0.0209261155306223 0.0183082902519574 0.0156228091393703 0.0316580056681019 0.0905055308041454 0.0164205207918806 0.0193663926065278 0.0170248722322144 0.0970807729043604 0.0181471250800199 0.00529274310639082 0.0265393814801953
1 -0.0074310133135142 0.10624791846447 0.073332950630714 0.100344310840556 0.0289443805137931 0.0234362108939465 0.0190234147798536 0.016628725023094 0.0355064064865669 0.102303731457484 0.0187660447090795 0.0197067626957429 0.0181679723227318 0.109953096036901 0.0191858723774787 0.00527112115526213 0.0294472721487477
1.25 -0.00862356784214709 0.1210152699896 0.0826221071104619 0.114784812133021 0.0312427096186653 0.0263489128950562 0.0206087520109176 0.0167094589387678 0.0391149340524168 0.116335430387599 0.020187116178958 0.0204367840332833 0.0184854349082134 0.125074633458294 0.0204967592592982 0.00460696721082922 0.03220976591863
1.5 -0.0103621928105507 0.140031247540741 0.0940060408129692 0.133502572210442 0.0340701534293487 0.0305037419156027 0.0213972363292782 0.0180257872857264 0.0440170848996668 0.134880332103759 0.0229380388576299 0.0214652817018445 0.0200672537960419 0.143733377234168 0.0213243730919525 0.00325593675226253 0.0364281750031386
1.75 -0.0104732213171342 0.165693782925346 0.112814474551113 0.15778593852392 0.0413181186541329 0.0396284014593751 0.0220930000166117 0.019884293746031 0.0555490218111448 0.159661690233803 0.0274052076492632 0.0236656682860707 0.0231615346964802 0.168809252290008 0.0241503880335628 0.00126255229413457 0.0476887742535717
2 -0.00899425302793865 0.19468332519977 0.131564071972778 0.184309451821806 0.0522482018116893 0.0471804002902739 0.0198150498061974 0.0193599211007083 0.0683084427082198 0.187368838402593 0.0342793241423074 0.0251506044634431 0.0242080898572678 0.197132637747089 0.0220087217702226 -0.00270984018874922 0.0614624389136165
2.25 -0.000314969292543689 0.242433480484047 0.162885235876006 0.226132977937145 0.0626437230998512 0.0549360791113869 0.0201691048165774 0.0256000530337077 0.0811775190373627 0.233078443591524 0.0354064964626102 0.0299019419455029 0.029955564292772 0.241919949789906 0.0262172561791326 0.000309122475673885 0.073221906123236
2.5 0.00792191061115723 0.287931056228549 0.195379694333889 0.272891129119794 0.063031092479075 0.0604525832967052 0.0162190210864997 0.0280427370626131 0.0856975343330027 0.279485825074369 0.035285080184719 0.0285754821566674 0.0312255010632605 0.287391435335666 0.0274292266586652 0.0056972573358562 0.0749546166257275
2.75 0.0205942666970308 0.352050407435618 0.241351814786664 0.336375007621195 0.0563868962304426 0.0671270671690872 0.0177757641762972 0.0253914610154497 0.0865250651868281 0.34264734571069 0.0331071072928477 0.0288527347872409 0.0250932771331396 0.345933598582859 0.0233577612951771 0.0070094230122706 0.0816954841077577
3 0.02722583098071 0.444773966052274 0.286970062982774 0.431689403829184 0.0524486923999157 0.0595813180289352 0.00227564940068306 0.0133921529468938 0.0787284951054943 0.435725452406217 0.0348802307447875 0.0200407171092824 0.0133600352816172 0.421734943214081 0.00556722777219975 0.00732108776313822 0.07087246997177
3.25 0.00593059555298427 0.54249920599038 0.335542190490996 0.534211840466319 0.0521789398543446 0.073584263034921 -0.0338160689726033 -0.00819860911083078 0.0880556548262206 0.531137586336109 0.0270857506496087 -0.00742261744699752 0.0028841068583026 0.505231602378079 -0.0177197654882139 -0.01302561087758 0.0896529468359263
3.5 0.0104568457518211 0.639591693977376 0.380228469765701 0.633839865873783 0.0106538199402894 0.0860117666652224 -0.101139260928396 -0.0528629348908656 0.0681638325919969 0.629564114096649 -0.026701834557186 -0.0739673202110903 -0.0306228722273085 0.58791060285971 -0.063806594664497 -0.0544950054689376 0.0781068683683105
3.75 0.080930964651972 0.727107978602904 0.41263141097946 0.728652199651898 -0.0779674228587714 0.0747652511184765 -0.179769130411652 -0.0891910553566323 -3.53808658567845e-05 0.711859592713121 -0.10843775670556 -0.13101962552188 -0.0560326866808601 0.660342572251806 -0.134189190166999 -0.093968333500854 -0.000925151239966238
4 0.10165251103098 0.7768781609163 0.487625366713935 0.793910583587777 -0.0996815796258937 0.0834874385606504 -0.209713322207516 -0.108061767950243 -0.0111646403514301 0.767073712401525 -0.164483785133756 -0.143596549999497 -0.0762765594292119 0.72271592692827 -0.158095748318984 -0.113986514717532 0.0174464770765558
4.25 0.156920369114149 0.813848174315946 0.555982010867328 0.827944098108794 -0.138743558376939 0.137033514254672 -0.254399578589357 -0.105773565767061 -0.00912082766017708 0.799604426001491 -0.214180498243243 -0.15626367190557 -0.0860260690995742 0.759435310042349 -0.151118823908769 -0.111066467050569 0.0076752618702696
4.5 0.199301165944549 0.87234244706084 0.728462538780993 0.891831491060118 -0.151982528359144 0.228076501208053 -0.256147046499562 -0.155069041325727 0.0531196748971407 0.862039416753677 -0.258089103330403 -0.130723674419296 -0.146899659185101 0.834479476503768 -0.130962747485988 -0.0965216212034202 0.0895793791731579
4.75 0.233943698974112 0.902613393472785 0.775250812252213 0.909502166723004 -0.11541513271036 0.272439710140336 -0.226132962787818 -0.24691989420222 0.123648107838938 0.889228878057204 -0.272484600457804 -0.126409076495285 -0.256647964624174 0.895311280410341 -0.157596734074556 -0.166315703608408 0.126201495460983
5 0.21659549420874 0.911030596027989 0.799292712276176 0.917205548087606 -0.0977439533703849 0.297139638099273 -0.205998481991514 -0.250043280075641 0.149351448224222 0.895885651265948 -0.286785454638186 -0.151361810101896 -0.266554626376135 0.90684791961208 -0.177445628445522 -0.157355493183444 0.141486207049317
